,county
Anaheim,Orange 
Atlanta,Fulton 
Baltimore,Baltimore 
Boston,Suffolk 
Chicago,Cook 
Cleveland,Cuyahoga 
Dallas,Dallas 
Houston,Harris 
Kansas City,Jackson 
Los Angeles,Los Angeles 
Miami,Miami-Dade 
Minneapolis,Hennepin 
New York,New York 
Newark,Essex 
Oakland,Alameda 
Oklahoma City,Oklahoma 
Philadelphia,Philadelphia 
Phoenix,Maricopa 
Pittsburgh,Allegheny 
Riverside,Riverside 
San Diego,San Diego 
San Francisco,San Francisco 
San Jose,Santa Clara 
Seattle,King 
St. Louis,St. Louis 
Tampa,Hillsborough 
Washington,District of Columbia
